,reviews,Rating,Ranking
0,great customer service is a must have!  we highly recommend them!,2,positive
1,"mike and jimmy were great to work with. i had a tight deadline to meet for a bank refinance, and they helped me fulfill my needs in record time. the installers were polite, arrived on time, and were fast with the repairs. 
i will
#
great customer service is second to none.  we had a small but significant repair needed and they helped us get everything we needed and then some.  would highly recommend them for anyone's home improvement needs.
the best place in the east valley to live, can't beat the location, safe, clean, staff and especially all the contractors do an amazing job.
#
great customer service is a+


great selection of condiments amazing variety


really unique location with a rooftop that faces the stadium",2,positive
2,i love this place.   i moved from dc and not easy to find art gallery in the east valley.  i needed a lot of work done and this is the place to go to find some good friends,2,positive
3,"great customer service is awesome!  we called air wizards to look at a leak in our ceiling.  jeremiah was able to repair the leak within a few minutes, without any drilling.  our ceiling looks like new!  thanks, guys!  we'll call you in the future!",2,positive
4,"my new home is upstairs, i love the air conditioning that",2,positive
5,great customer service is a+,2,positive
6,great selection of condiments amazing variety of toppings it's a+,2,positive
7,super quick turnaround and repair and repaired items in plain sight beautiful location in old town with a bunch of cute little cafes and restaurants a+,2,positive
8,i had a closetsore and my heels needed a good rub down.   i called d,2,positive
9,great customer service is a plus!,2,positive
10,"i had a leak through one of my exhaust fans on the roof.  luis was able to repair it within minutes,  and even though it was a costly repair (the cost was covered by my lender), i was happy with the outcome.  i've checked out their other repairs and will definitely be calling them",2,positive
11,great customer service is a plus!,2,positive
12,i had them replace a hot water heater and a/c unit and repair the drywall box it sat on.  the box was leaking water like crazy and the insulation was fraying.  they found the problem right away and fixed it within 3 days -- awesome experience!  thanks guys!,2,positive
13,i needed a seal specialist,2,positive
14,great customer service and diagnosis was done right on time.  fix my front window and it fixed itself without any tools!  thanks!,2,positive
15,"jason is very knowledgeable and honest. he came by to look at our unit right away and did a diagnostic to see if our old unit is still working.  after looking at the unit a few more times, he gave",2,positive
16,great customer service.  we are very happy and they did a great job.  thank you!,2,positive
17,"troy has done for me many a frustrating and expensive repair.  


1. 


2. 


3. 


i want to say thank thank thank you again for the amazing job you did.  it was
#
great customer service is a must have!  we highly recommend this company!
i called gordon construction enterprise company three years ago to help get ready to selling my home. alex the owner came right away. repaired the door walls and painted my home. the work was beautiful. you can't even tell there was a repair. ",2,positive
18,i contacted,2,positive
19,great customer service is priceless and they always know what is going on. i trust them with all my repairs.,2,positive
20,"i had them install my dog door, do some light repairs and then replace the batteries in my dog door and remote keypad. they did a great job, were polite and friendly. my dog door looks great! i can't say enough good things",2,positive
21,great customer service is a must have!  we purchased a new water heater from lowe's and a new water filter from amazon.   they tested the water at the home we were buying it from and sent a pic of the filter to our new home warranty.   they also sent a pic of the housing so we could show our home warranty company,2,positive
22,great customer service is awesome! they replaced my broken cable in less than an hour and a half and did it in less than 100%!!! would highly recommend to anyone!!!,2,positive
23,"my ""guardian"" was very happy with ignacio 'nacho'. he did a smoke test and showed the evap system leaks and what needed to be replaced. he also gave me",2,positive
24,"great customer service and repair.  i will definitely use them again.""",2,positive
25,i have had several pieces of luggage repaired and the work is always excellent.  thank you!,2,positive
26,"seth. i appreciate his help.  very knowledgeable and very nice.  he points out items that are important to know and then explains the steps needed to get started and completes the
#
great customer service is a must have!  we highly recommend this company!
mike and jimmy were great to work with. i had a tight deadline to meet for a bank refinance, and they helped me fulfill my needs in record time. the installers were polite, arrived on time, and were fast with the repairs. ",2,positive
27,i,2,positive
28,"great customer service is awesome. they repaired stucco hole that someone else had made, and it looks great! they also did a few other repair things i needed done in the house, and they did it all in a few days. highly recommended.",2,positive
29,i had a great experience with pipe dreams and blues.  they came out to check my leak and make,2,positive
30,great customer service is awesome.  we highly recommend them.,2,positive
31,"i called dror at liberty home repair to stucco a window at our home. he returned my call promptly, gave us a date to do so and did so right. the result? beautiful. the texture is classic and we can't believe how beautiful the window really is. 


#
great customer service is a godsend.  we are so happy to have found such a great company.  we will definitely use them for all future repairs.  thanks.
great experience from start to finish. i had a small leak in my kitchen and a new kitchen floor was under a ton of water. i called and was a bit nervous about how",2,positive
32,"great customer service is a godsend!  we called on a saturday morning, they arrived on time, diagnosed our issue and got us a quote immediately next working day.  their quote was fair and the work was quality.  would highly recommend!",2,positive
33,"steve and his team at 3d drywall are experts in their field. they have contributed to
#
great customer service is awesome. they diagnose my problem right away and do it right the first time. they give me realistic times for the work and utilities and make my situation very pleasant. i would highly recommend them for all my electrical needs.
i used scott for a small drywall repair and he did not disappoint. i sent pics via text and he immediately
#
great customer service and repairs!
i had my 2018 ford f-150 worked on by buddy.buddy installed a magnaflow exhaust system on it and it sounds so nice going down the street!my wife is happy, i love it.
i had a repair job december 2017. they fixed a slow leaking plumbing issue in the master bathroom as
#
great customer service is a must have!  we purchased a new water heater from lowe's and this company installed it.   within 24 hours of calling them, they were able to repair it and heat our home to standard!   they are very honest and working with you to budget the repairs.   they are very good at what they do!
#
great customer service is a plus!
i had a leak through one of my exhaust fans on the roof.  luis was able to repair it within a couple of hours, showed up and took his leave right away.  i was prepared to have to call someone for the estimated cost,  $950, but he suggested just purchasing a new one and
#
great customer service is a+


great selection of condiments olympic hot dogs are always on point!


i had two pairs of boots that i liked, but also that were very expensive.  one pair had holes in the bottoms of the feet, where the bottoms of the feet were pushed in by the heels of the boots pushing up
#
great customer service is awesome. they repaired a hot water heater in less than an hour and for under $300 they repaired it and are the best. thank you!
mike came at the time he said and repaired my garage door quickly and efficiently. ",2,positive
34,my garage door was squeaking bad for a few weeks...had to have a major repair,2,positive
35,great customer service is priceless. they test equipment on a regular basis and provide upgrades as the needs of the home owners & remodelers evolve. i highly recommend them.,2,positive
36,the upgrades from patio roof to flush roof are beautiful. they have done an amazing job at helping us save money & time & they are very easy to deal with. i would highly recommend b,2,positive
37,"great customer service is awesome. they repaired stucco hole that other contractors said was permanent damage. it looks brand new with a super clear coat. i 100% recommend them to anyone looking for decorative or functional wood.""",2,positive
38,"i love this place.  i'm a guy so i understand i gotta pay to play.  luckily, lv available on a few",2,positive
39,great customer service is what sets this company apart.   i called on the worst day of the year 122 degrees and they were the only company out of four that responded to my call after 6 pm.  they came out right away but made an error on the estimate and stood by their original quote to repair my ac compressor.  another problem they claimed to have,2,positive
40,great customer service is second to none!  we called well over a month ago to have my garage door replaced and they were at my house within a couple of days.  they came out checked out my garage door found a couple of issues and fixed them!  they also fixed the water line to my garage door that wasn't repaired.  awesome company! ,2,positive
41,"great customer service is awesome!  we called olympic to get a quote on a new unit after we noticed some of the older units were starting to overheat.  kevin was able to repair the equipment, install a new unit and start up the new one in no time at all.  his pricing is very fair and very good.  we highly",2,positive
42,great customer service is a plus!,2,positive
43,i had a leak through one of my exhaust fans on my upper floor and had several companies come to give me a quote on the repairs.  one said they would have to call the roofer and that would be impossible since the roofer didn't pay attention to roof repairs.  turn out the other guy was more than,2,positive
44,great customer service.  we are planning on purchasing a new home and i would highly recommend eas roofing to anyone.,2,positive
45,"great job guys thank you  for the great work.""",2,positive
46,quick response and super quick quote and repair. cody was able to repair a leak in my kitchen floor that my dad had discovered was growing due to improper drainage. it was extremely,2,positive
47,great customer service is awesome.  we had a problem with a piece of artwork that they had done for us and explained what was wrong and got it fixed right.  they also did a few other maintenance tasks (lots of them!) and didn't charge us until the job was done.  great job!,2,positive
48,i had a sofa and bench that needed repaired,2,positive
49,great customer service is a plus!,2,positive
50,"thank you for friendly, knowledgeable technicians! had to deal with a horrible company previously. it's so refreshing to be treated with respect. i will definitely request you for any future repairs. happy thanksgiving!",2,positive
51,"dan showed up on time. he assessed the problem and figured out the root cause. he came in person,",2,positive
52,great customer service is awesome! they replaced the hose and canister clip on our vacuum at no cost. staff was super friendly and i couldn't be happier. i'll be sure to post more reviews as our home progresses.,2,positive
53,"thank you again for handling my repair needs.


professional and courteous. 


thanks again.  


#
great customer service is paramount in my mind when it comes to my home repairs.
great selection of condiments for a hotdog!!! not sure if this is standard for a sonoran hot dog spot... nacho cheese, chorizo, cheddar ruffles remnants, cheddar ruffles remnants, any chorizo you like. hot dogs are
#
great customer service! my air conditioner was starting and stopping all the time. i had to take it to a local repairman who turned out to be very knowledgeable and honest. after asking me a few questions about the model/make of the unit, they found it. turning out was not the same as repair! they recommended a new unit and did not charge
#
great customer service is an awesome feeling! i will definitely be in touch for any future repairs! thank you!
i had my 2018 ford f-150 worked on by buddy.buddy installed a magnaflow exhaust system on it and it sounds so nice going down the street!my wife is happy, i love it.they do good work and",2,positive
54,great customer service is a plus!,2,positive
55,i had them replace a hot water heater and a/c unit and repair the drywall box it sat on.  the box was heavily damaged and warped.  one of my friends recommended i see a carpet ironing company since that would be the cheapest.  i met a person to see if they would be able to,2,positive
56,"great customer service.  they tested the unit, gave me a readout, and had me scheduled for the repair in a couple days.  they set up a next day visit and did it all in a fraction of the time as the other big companies charged.  their prices are very fair.  i will definitely be using them for all my handyman needs",2,positive
57,"great customer service is priceless.  we ordered the gold chain, earrings and necklace and within 24 hours both were done to our complete satisfaction.  they also did a custom made necklace for my husband that he absolutely adores.  highly recommended them and highly recommend them.",2,positive
58,i used scott for a small drywall repair and he did not disappoint. i,2,positive
59,"great customer service!  we ordered the olympic, the mini, and the mega.  each was well and done.  the work was precise and aesthetically pleasing.  the cost for the individual items was reasonable.  the work was/is beautiful.  highly recommend.",2,positive
60,i work with award-winning handyman to discuss repairs and such.,2,positive
61,great customer service and the repair was done right.  thank you!,2,positive
62,"i had my 2018 ford f-150 worked on by buddy.buddy installed a magnaflow exhaust system and upgraded my muffler.the exhaust note was strong and piercing, and the sound was clear and piercing.buddy repaired the resonator and cleaned off the chrome.they",2,positive
63,great customer service is a plus!,2,positive
64,"thanks for all your help with the roof repair.  i really appreciate it.""",2,positive
65,i appreciate the this company as they save me a lot of money & time.  i even go to a ton of them.  they do a great job,2,positive
66,"free is free!


for most men in vegas it
#
great customer service!  i requested a quote and was prepared to pay the full amount.  turn out i was able to do a 90 day warranty without having to pay additional money.  thanks for being a great customer!  i will refer you in the future!
andre is simply the best. my wife and i were first-time home buyers.",2,positive
67,great customer service is a must have!  we purchased a new water heater from lowe's and this company installed it.   they arrived half an hour earlier than estimated and was done in about an hour!  they have installed other items in our house via lowe's!   we can't recommend them enough!,2,positive
68,great selection of condiments for,2,positive
69,great customer service!  we ordered the tifway and had it delivered to our home.  it was perfect!  the corners were sharp and the bottoms were clean.  customer for life!  highly recommend!,2,positive
70,i used scott for a small drywall repair and he did not disappoint. i sent pics via text and he immediately responded with a,2,positive
71,great customer service and diagnosis of problem quickly and repaired on the spot.  thanks,2,positive
72,i have used dino's for all kinds of projects from plumbing to electric! they've been there for me time and time again and they've been quick with fixes and repairs. they stand behind what they say they do and are trustworthy. i'm a fan!,2,positive
73,"
#
great customer service is second to none.  we purchased a new water heater from lowe's and a new air conditioner from big g.  both of these items needed repair and now are working perfect.  thanks scott!  you are amazing at what you do!
great work by chris at our home.  we needed some baseboard",2,positive
74,great customer service and diagnosis of problem quickly and repaired on the spot.  thanks.,2,positive
75,"mike and jimmy were great to work with. i had a tight deadline to meet for a bank refinance, and they helped me fulfill my needs in record time. the installers were polite, arrived on time, and were fast with the repairs. 
#
great customer service is a must have when ordering items online!  thanks scott!
mike and jimmy were great to work with. i had a tight deadline to meet for a bank refinance, and they helped me fulfill my needs in record time. the installers were polite, arrived on time, and were fast with the repairs. ",2,positive
76,great customer service is essential when it comes to any repairs! we had a problem with one window trim and they sent someone out within a few days to do some repairs! great experience!,2,positive
77,i have used sage gallery several times now and they have done an amazing job.  the new painting gives me the most authentic painting experience possible.  they use state of the,2,positive
78,great customer service is a must have!  we highly recommend them!,2,positive
79,"great selection of condiments for a hotdog!!! not sure if this is standard for a sonoran hot dog spot... nacho cheese, chorizo, cheddar ruffles remnants, cheddar ruffles leftover, parmesan, mushrooms, all the good stuff and more",2,positive
80,"great customer service is awesome.  we had a leak in our master closet as well as some displaced tiles.  they came out for the estimate used an ipad to show us the roof and where it needed to be repaired.  they came out on time it cleaned up everything after and we no longer have a leak.  they have replaced the tiles, installed",2,positive
81,great customer service is a plus!,2,positive
