,reviews,Rating,Ranking
0,customer service is second to none. they take no pride in anything except completing your repair. ,2,negative
1,"when it's time to pick up the pieces, i find myself wishing i had looked somewhere else.""",2,negative
2,"this is a nice gas station, but it's never open. i think they close on the 2nd or 3rd of each month. distressing.",2,negative
3,customer service is great but this place needs a serious renovation. atleast replace the foam with thicker stuff like a firestone fence or wall tile.,2,negative
4,"update:  he's combative too.  read his answer below.  i certainly didn't get anything longer than a 30 day warranty.  also, who said it was 3 months ago?
#
customer service is terrible, i wait over 48 hours to ask for something like a roof repair or water heater change because of plumbing issues or a simple leak in the system. i will never call courtesy plumbing again.
i would give this place 0 stars if possible they did more than just fix my vacuum. i have had my vcr fix broken and leak issues
#
customer service was also non existent.  they didn't even call to let me know they didn't hear me and then waited for it next day.  i'm now waiting for them to inform me again that they didn't hear me.
a couple of years ago i had a reciever repaired here. the technician told me that the relay from the
#
customer service is terrible. if i needed a repair done i would have picked it up direct from them. today is 12/28/18. still waiting. i guess i should have known better. replaced the motor on our convertible so it would drive properly. still has not driven properly after 4 months. called about making repairs today. extremely rude and inadequate.
#
customer service is great but communication is terrible.
when the plumber came i was happy he was professional and helpful.  when he wasn't it felt like he was here to make a sale and was not here to make repairs.",2,negative
5,the plumber made my shower water replete with freon and didn't even need to add water to fix,2,negative
6,customer service is the same across the board. it's why whenever i call they seem to have no idea what they are doing. i almost feel bad for their employees as it seems like there is no oversight. they seem to have no idea what they are doing and it seems to conflict with their policies.,2,negative
7,not thrilled with the fact that the bed that i,2,negative
8,"customer service is horrible. if a repair is needed they want you to work with them rather then making the call. the time we spent with them was more of a ""when can i get you guys here?"" type of attitude. the only reason we stayed here was because we felt it was the best value for our money. we didn't want to leave because",2,negative
9,"customer service isn't terrible at all, but this place should be labeled a ""bait and switch"" business.""",2,negative
10,"don't be lured into thinking you can ""cheat"" with a showroom that is closed as it is.  you will be disappointed!  the staff is mean and don't be fooled by the big sign that says ""closed for renovations",2,negative
11,"customer service is terrible. they have no idea what's going on, and don't respond to messages. i wish i checked the reviews first. one star is generous.""",2,negative
